symbol,table
NSE:20MICRONS,inr
NSE:21STCENMGM,inr
NSE:3IINFOTECH,inr
NSE:3MINDIA,inr
NSE:3PLAND,inr
NSE:5PAISA,inr
NSE:63MOONS,inr
NSE:A2ZINFRA,inr
NSE:AAKASH,inr
NSE:AARON,inr
NSE:AARTIDRUGS,inr
NSE:AARTIIND,inr
NSE:AARTISURF,inr
NSE:AARVEEDEN,inr
NSE:AARVI,inr
NSE:AAVAS,inr
NSE:ABAN,inr
NSE:ABB,inr
NSE:ABBOTINDIA,inr
NSE:ABCAPITAL,inr
NSE:ABFRL,inr
NSE:ABFRLPP1.E1,inr
NSE:ABMINTLTD,inr
NSE:ACC,inr
NSE:ACCELYA,inr
NSE:ACCURACY,inr
NSE:ACE,inr
NSE:ACRYSIL,inr
NSE:ADANIENT,inr
NSE:ADANIGREEN,inr
NSE:ADANIPORTS,inr
NSE:ADANIPOWER,inr
NSE:ADANITRANS,inr
NSE:ADFFOODS,inr
NSE:ADHUNIKIND,inr
NSE:ADL,inr
NSE:ADORWELD,inr
NSE:ADROITINFO,inr
NSE:ADSL,inr
NSE:ADVANIHOTR,inr
NSE:ADVENZYMES,inr
NSE:AEGISCHEM,inr
NSE:AFFLE,inr
NSE:AFL_RE,inr
NSE:AGARIND,inr
NSE:AGCNET,inr
NSE:AGRITECH,inr
NSE:AGROPHOS,inr
NSE:AHLADA,inr
NSE:AHLEAST,inr
NSE:AHLUCONT,inr
NSE:AHLWEST,inr
NSE:AIAENG,inr
NSE:AIRAN,inr
NSE:AJANTPHARM,inr
NSE:AJMERA,inr
NSE:AKASH,inr
NSE:AKG,inr
NSE:AKSHARCHEM,inr
NSE:AKSHOPTFBR,inr
NSE:AKZOINDIA,inr
NSE:ALANKIT,inr
NSE:ALBERTDAVD,inr
NSE:ALCHEM,inr
NSE:ALEMBICLTD,inr
NSE:ALICON,inr
NSE:ALKALI,inr
NSE:ALKEM,inr
NSE:ALKYLAMINE,inr
NSE:ALLCARGO,inr
NSE:ALLSEC,inr
NSE:ALMONDZ,inr
NSE:ALOKINDS,inr
NSE:ALPA,inr
NSE:ALPHAGEO,inr
NSE:ALPSINDUS,inr
NSE:AMARAJABAT,inr
NSE:AMBER,inr
NSE:AMBIKCO,inr
NSE:AMBUJACEM,inr
NSE:AMDIND,inr
NSE:AMJLAND,inr
NSE:AMRUTANJAN,inr
NSE:ANANTRAJ,inr
NSE:ANDHRACEMT,inr
NSE:ANDHRAPAP,inr
NSE:ANDHRSUGAR,inr
NSE:ANGELBRKG,inr
NSE:ANIKINDS,inr
NSE:ANKITMETAL,inr
NSE:ANSALAPI,inr
NSE:ANSALHSG,inr
NSE:ANTGRAPHIC,inr
NSE:ANUP,inr
NSE:APARINDS,inr
NSE:APCL,inr
NSE:APCOTEXIND,inr
NSE:APEX,inr
NSE:APLAPOLLO,inr
NSE:APLLTD,inr
NSE:APOLLO,inr
NSE:APOLLOHOSP,inr
NSE:APOLLOPIPE,inr
NSE:APOLLOTYRE,inr
NSE:APOLSINHOT,inr
NSE:APTECHT,inr
NSE:ARCHIDPLY,inr
NSE:ARCHIES,inr
NSE:ARCOTECH,inr
NSE:ARENTERP,inr
NSE:ARIES,inr
NSE:ARIHANT,inr
NSE:ARIHANTSUP,inr
NSE:ARMANFIN,inr
NSE:AROGRANITE,inr
NSE:ARROWGREEN,inr
NSE:ARSHIYA,inr
NSE:ARSSINFRA,inr
NSE:ARTEMISMED,inr
NSE:ARVIND,inr
NSE:ARVINDFASN,inr
NSE:ARVSMART,inr
NSE:ASAHIINDIA,inr
NSE:ASAHISONG,inr
NSE:ASAL,inr
NSE:ASALCBR,inr
NSE:ASHAPURMIN,inr
NSE:ASHIANA,inr
NSE:ASHIMASYN,inr
NSE:ASHOKA,inr
NSE:ASHOKLEY,inr
NSE:ASIANHOTNR,inr
NSE:ASIANPAINT,inr
NSE:ASIANTILES,inr
NSE:ASPINWALL,inr
NSE:ASTEC,inr
NSE:ASTERDM,inr
NSE:ASTRAL,inr
NSE:ASTRAMICRO,inr
NSE:ASTRAZEN,inr
NSE:ASTRON,inr
NSE:ATFL,inr
NSE:ATGL,inr
NSE:ATLANTA,inr
NSE:ATLASCYCLE,inr
NSE:ATUL,inr
NSE:ATULAUTO,inr
NSE:AUBANK,inr
NSE:AURIONPRO,inr
NSE:AUROPHARMA,inr
NSE:AUSOMENT,inr
NSE:AUTOAXLES,inr
NSE:AUTOIND,inr
NSE:AUTOLITIND,inr
NSE:AVADHSUGAR,inr
NSE:AVANTIFEED,inr
NSE:AVTNPL,inr
NSE:AWHCL,inr
NSE:AXISBANK,inr
NSE:AXISCADES,inr
NSE:AYMSYNTEX,inr
NSE:BAFNAPH,inr
NSE:BAGFILMS,inr
NSE:BAJAJCON,inr
NSE:BAJAJELEC,inr
NSE:BAJAJFINSV,inr
NSE:BAJAJHIND,inr
NSE:BAJAJHLDNG,inr
NSE:BAJAJ_AUTO,inr
NSE:BAJFINANCE,inr
NSE:BALAJITELE,inr
NSE:BALAMINES,inr
NSE:BALAXI,inr
NSE:BALKRISHNA,inr
NSE:BALKRISIND,inr
NSE:BALLARPUR,inr
NSE:BALMLAWRIE,inr
NSE:BALPHARMA,inr
