Sr. No.,Symbol,Company Name,"Market capitalization 
(Rs in Lakhs)"
0,NIFTY,NIFTY,0
0,BANKNIFTY,BANKNIFTY,0
1,RELIANCE,Reliance Industries Limited,0
2,TCS,Tata Consultancy Services Limited,126985361
3,HDFCBANK,HDFC Bank Limited,117550304
4,INFY,Infosys Limited,82341586
5,HINDUNILVR,Hindustan Unilever Limited,58277398
6,HDFC,Housing Development Finance Corporation Limited,57129664
7,ICICIBANK,ICICI Bank Limited,44996047
8,KOTAKBANK,Kotak Mahindra Bank Limited,40254860
9,SBIN,State Bank of India,34737830
10,BAJFINANCE,Bajaj Finance Limited,32512360
11,BHARTIARTL,Bharti Airtel Limited,31032344
12,ITC,ITC Limited,28410257
13,HCLTECH,HCL Technologies Limited,26892695
14,ASIANPAINT,Asian Paints Limited,26665830
15,WIPRO,Wipro Limited,24338685
16,AXISBANK,Axis Bank Limited,22691736
17,MARUTI,Maruti Suzuki India Limited,21365557
18,LT,Larsen & Toubro Limited,20720275
19,ULTRACEMCO,UltraTech Cement Limited,19927530
20,DMART,Avenue Supermarts Limited,19448517
21,ADANIGREEN,Adani Green Energy Limited,18520202
22,BAJAJFINSV,Bajaj Finserv Limited,17280012
23,SUNPHARMA,Sun Pharmaceutical Industries Limited,15386363
24,ADANIPORTS,Adani Ports and Special Economic Zone Limited,14343224
25,HDFCLIFE,HDFC Life Insurance Company Limited,14271024
26,TITAN,Titan Company Limited,14069812
27,ONGC,Oil & Natural Gas Corporation Limited,13832152
28,HINDZINC,Hindustan Zinc Limited,12850755
29,ADANIENT,Adani Enterprises Limited,11530896
30,JSWSTEEL,JSW Steel Limited,11340692
31,POWERGRID,Power Grid Corporation of India Limited,11323469
32,SHREECEM,SHREE CEMENT LIMITED,11281923
33,BAJAJ_AUTO,Bajaj Auto Limited,10631337
34,ATGL,Adani Total Gas Limited,10621506
35,NTPC,NTPC Limited,10571924
36,TATAMOTORS,Tata Motors Limited,10331798
37,ADANITRANS,Adani Transmission Limited,10020689
38,M_M,Mahindra & Mahindra Limited,9990675
39,DIVISLAB,Divi's Laboratories Limited,9886489
40,TECHM,Tech Mahindra Limited,9617396
41,DABUR,Dabur India Limited,9599814
42,GRASIM,Grasim Industries Limited,9552934
43,BPCL,Bharat Petroleum Corporation Limited,9543908
44,PIDILITIND,Pidilite Industries Limited,9283317
45,TATASTEEL,Tata Steel Limited,9194527
46,SBILIFE,SBI Life Insurance Company Limited,9145405
47,BRITANNIA,Britannia Industries Limited,8809114
48,SBICARD,SBI Cards and Payment Services Limited,8731596
49,IOC,Indian Oil Corporation Limited,8730428
50,VEDL,Vedanta Limited,8646905
51,COALINDIA,Coal India Limited,8503087
52,DRREDDY,Dr. Reddy's Laboratories Limited,8033116
53,GODREJCP,Godrej Consumer Products Limited,7510125
54,BERGEPAINT,Berger Paints (I) Limited,7460571
55,INDUSINDBK,IndusInd Bank Limited,7430407
56,HINDALCO,Hindalco Industries Limited,7379380
57,EICHERMOT,Eicher Motors Limited,7343287
58,DLF,DLF Limited,7117531
59,LTI,Larsen & Toubro Infotech Limited,7105392
60,INDUSTOWER,Indus Towers Limited,7082721
61,HAVELLS,Havells India Limited,6602596
62,CIPLA,Cipla Limited,6575641
63,SIEMENS,Siemens Limited,6573459
64,ICICIGI,ICICI Lombard General Insurance Company Limited,6566858
65,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,6515142
66,MOTHERSUMI,Motherson Sumi Systems Limited,6398660
67,INDIGO,InterGlobe Aviation Limited,6361659
68,HDFCAMC,HDFC Asset Management Company Limited,6280780
69,AMBUJACEM,Ambuja Cements Limited,6215944
70,GAIL,GAIL (India) Limited,6132665
71,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,6111242
72,HEROMOTOCO,Hero MotoCorp Limited,5887794
73,NAUKRI,Info Edge (India) Limited,5820796
74,BANDHANBNK,Bandhan Bank Limited,5512669
75,MARICO,Marico Limited,5458267
76,AUROPHARMA,Aurobindo Pharma Limited,5311291
77,BIOCON,Biocon Limited,5163877
78,UPL,UPL Limited,4906800
79,MUTHOOTFIN,Muthoot Finance Limited,4904026
80,LUPIN,Lupin Limited,4837940
81,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,4629278
82,CADILAHC,Cadila Healthcare Limited,4582319
83,TORNTPHARM,Torrent Pharmaceuticals Limited,4513681
84,COLPAL,Colgate Palmolive (India) Limited,4306803
85,HONAUT,Honeywell Automation India Limited,4241208
86,APOLLOHOSP,Apollo Hospitals Enterprise Limited,4197942
87,BOSCHLTD,Bosch Limited,4173565
88,IDBI,IDBI Bank Limited,4155182
89,PGHH,Procter & Gamble Hygiene and Health Care Limited,4145051
90,GLAND,Gland Pharma Limited,4115680
91,MCDOWELL_N,United Spirits Limited,4052037
92,NMDC,NMDC Limited,4042654
93,PEL,Piramal Enterprises Limited,3966575
94,GODREJPROP,Godrej Properties Limited,3954026
95,YESBANK,Yes Bank Limited,3909964
96,JUBLFOOD,Jubilant Foodworks Limited,3908565
97,PNB,Punjab National Bank,3841553
98,AUBANK,AU Small Finance Bank Limited,3840071
99,BANKBARODA,Bank of Baroda,3831997
100,GUJGASLTD,Gujarat Gas Limited,3831979
101,BAJAJHLDNG,Bajaj Holdings & Investment Limited,3782360
102,CONCOR,Container Corporation of India Limited,3664951
103,SRTRANSFIN,Shriram Transport Finance Company Limited,3643580
104,IGL,Indraprastha Gas Limited,3599294
105,ACC,ACC Limited,3586454
106,JINDALSTEL,Jindal Steel & Power Limited,3574061
107,GICRE,General Insurance Corporation of India,3504775
108,MRF,MRF Limited,3498274
109,HINDPETRO,Hindustan Petroleum Corporation Limited,3488741
110,MINDTREE,MindTree Limited,3443440
111,3MINDIA,3M India Limited,3432595
116,Zomato,Zomato LTD,
112,PIIND,PI Industries Limited,3428710
113,PAGEIND,Page Industries Limited,3425917
114,PETRONET,Petronet LNG Limited,3381570
115,ASHOKLEY,Ashok Leyland Limited,3369750
116,HAL,Hindustan Aeronautics Limited,3331823
117,MPHASIS,MphasiS Limited,3326988
118,VOLTAS,Voltas Limited,3322802
119,ALKEM,Alkem Laboratories Limited,3315300
120,TATAPOWER,Tata Power Company Limited,3311711
121,UBL,United Breweries Limited,3299188
122,ADANIPOWER,Adani Power Limited,3282458
123,BALKRISIND,Balkrishna Industries Limited,3280327
124,SAIL,Steel Authority of India Limited,3264161
125,ASTRAL,Astral Poly Technik Limited,3254854
