,date,votes,pchs
0,2021-04-14 03:15:00,-10,-0.17363636363636362
1,2021-04-14 03:30:00,-6,0.02727272727272728
2,2021-04-14 03:45:00,-2,0.12272727272727271
3,2021-04-14 04:00:00,2,0.13454545454545455
4,2021-04-14 04:15:00,-6,-0.1572727272727273
5,2021-04-14 04:30:00,-6,-0.10636363636363638
6,2021-04-14 04:45:00,0,0.020000000000000004
7,2021-04-14 05:00:00,-2,-0.060909090909090906
8,2021-04-14 05:15:00,4,0.05999999999999999
9,2021-04-14 05:30:00,-8,-0.1318181818181818
10,2021-04-14 05:45:00,-12,-0.1690909090909091
11,2021-04-14 06:00:00,-12,-0.4763636363636363
12,2021-04-14 06:15:00,-12,-0.3563636363636364
13,2021-04-14 06:30:00,-8,-0.0509090909090909
14,2021-04-14 06:45:00,-6,0.008181818181818191
15,2021-04-14 07:00:00,6,0.2745454545454545
16,2021-04-14 07:15:00,10,0.6081818181818182
17,2021-04-14 07:30:00,8,0.42
18,2021-04-14 07:45:00,6,0.24000000000000002
19,2021-04-14 08:00:00,10,0.6109090909090908
20,2021-04-14 08:15:00,10,0.5618181818181819
21,2021-04-14 08:30:00,10,0.6081818181818183
22,2021-04-14 08:45:00,10,0.5154545454545455
23,2021-04-14 09:00:00,6,0.1827272727272727
24,2021-04-14 09:15:00,10,0.43090909090909085
25,2021-04-14 09:30:00,10,1.0363636363636362
26,2021-04-14 09:45:00,10,0.9281818181818182
27,2021-04-14 10:00:00,10,0.6900000000000001
28,2021-04-14 10:15:00,6,0.3809090909090909
29,2021-04-14 10:30:00,10,0.45363636363636367
30,2021-04-14 10:45:00,10,0.7363636363636363
31,2021-04-14 11:00:00,10,0.9327272727272728
32,2021-04-14 11:15:00,8,0.5672727272727273
33,2021-04-14 11:30:00,6,0.18999999999999997
34,2021-04-14 11:45:00,6,0.21545454545454545
35,2021-04-14 12:00:00,8,0.3527272727272727
36,2021-04-14 12:15:00,0,-0.09090909090909093
37,2021-04-14 12:30:00,4,0.08636363636363636
38,2021-04-14 12:45:00,4,0.22181818181818178
39,2021-04-14 13:00:00,8,0.23636363636363633
40,2021-04-14 13:15:00,10,0.18454545454545454
41,2021-04-14 13:30:00,10,0.3109090909090909
42,2021-04-14 13:45:00,-8,-0.2890909090909091
43,2021-04-14 14:00:00,4,0.0809090909090909
44,2021-04-14 14:15:00,-2,-0.055454545454545444
45,2021-04-14 14:30:00,-10,-0.19545454545454544
46,2021-04-14 14:45:00,2,0.09545454545454546
47,2021-04-14 15:00:00,-4,-0.05818181818181818
48,2021-04-14 15:15:00,-12,-0.18818181818181817
49,2021-04-14 15:30:00,-6,-0.06454545454545456
50,2021-04-14 15:45:00,-8,-0.09636363636363635
51,2021-04-14 16:00:00,4,0.15999999999999998
52,2021-04-14 16:15:00,0,-0.0054545454545454515
53,2021-04-14 16:30:00,8,0.13909090909090913
54,2021-04-14 16:45:00,-12,-0.6763636363636363
55,2021-04-14 17:00:00,-12,-0.7454545454545454
56,2021-04-14 17:15:00,-12,-0.8109090909090909
57,2021-04-14 17:30:00,-10,-0.43727272727272726
58,2021-04-14 17:45:00,-6,-0.06909090909090908
59,2021-04-14 18:00:00,-2,0.06545454545454546
60,2021-04-14 18:15:00,0,0.1981818181818182
61,2021-04-14 18:30:00,2,0.3281818181818182
62,2021-04-14 18:45:00,8,0.620909090909091
63,2021-04-14 19:00:00,6,0.4309090909090909
64,2021-04-14 19:15:00,4,0.2818181818181818
65,2021-04-14 19:30:00,10,0.3709090909090909
66,2021-04-14 19:45:00,2,-0.06363636363636362
67,2021-04-14 20:00:00,-2,-0.23
68,2021-04-14 20:15:00,-2,-0.025454545454545455
69,2021-04-14 20:30:00,0,-0.0018181818181818273
70,2021-04-14 20:45:00,-12,-0.5881818181818181
71,2021-04-14 21:00:00,-10,-0.28363636363636363
72,2021-04-14 21:15:00,-12,-0.4881818181818181
73,2021-04-14 21:30:00,-12,-0.4327272727272728
74,2021-04-14 21:45:00,-12,-0.5645454545454546
75,2021-04-14 22:00:00,-12,-1.0227272727272725
76,2021-04-14 22:15:00,-8,-0.09818181818181819
77,2021-04-14 22:30:00,-6,0.05636363636363637
78,2021-04-14 22:45:00,-10,-0.21636363636363634
79,2021-04-14 23:00:00,-2,0.12545454545454546
80,2021-04-14 23:15:00,-4,-0.028181818181818176
81,2021-04-14 23:30:00,8,0.34363636363636363
82,2021-04-14 23:45:00,8,0.34181818181818185
83,2021-04-15 00:00:00,10,1.2636363636363637
84,2021-04-15 00:15:00,10,1.3181818181818183
85,2021-04-15 00:30:00,8,0.6918181818181818
86,2021-04-15 00:45:00,6,0.4727272727272727
87,2021-04-15 01:00:00,4,0.3563636363636364
88,2021-04-15 01:15:00,8,0.5281818181818182
89,2021-04-15 01:30:00,-2,-0.39363636363636373
90,2021-04-15 01:45:00,-4,-0.27636363636363637
91,2021-04-15 02:00:00,-6,-0.3345454545454546
92,2021-04-15 02:15:00,-2,-0.011818181818181839
93,2021-04-15 02:30:00,-8,-0.24909090909090906
94,2021-04-15 02:45:00,-10,-0.22636363636363638
95,2021-04-15 03:00:00,-2,-0.0809090909090909
96,2021-04-15 03:15:00,-12,-0.4481818181818182
97,2021-04-15 03:30:00,-12,-0.37999999999999995
98,2021-04-15 03:45:00,-8,-0.08363636363636363
99,2021-04-15 04:00:00,-8,-0.17272727272727273
100,2021-04-15 04:15:00,-4,0.0809090909090909
101,2021-04-15 04:30:00,0,0.10818181818181817
102,2021-04-15 04:45:00,0,0.06999999999999999
103,2021-04-15 05:00:00,2,0.08090909090909092
104,2021-04-15 05:15:00,10,0.2081818181818182
105,2021-04-15 05:30:00,10,0.28818181818181815
106,2021-04-15 05:45:00,10,0.29545454545454547
107,2021-04-15 06:00:00,10,0.43727272727272726
108,2021-04-15 06:15:00,10,0.37636363636363634
109,2021-04-15 06:30:00,6,0.1954545454545455
110,2021-04-15 06:45:00,4,0.09
111,2021-04-15 07:00:00,0,-0.07090909090909091
112,2021-04-15 07:15:00,4,0.1336363636363636
113,2021-04-15 07:30:00,8,0.18
114,2021-04-15 07:45:00,-8,-0.21909090909090911
115,2021-04-15 08:00:00,-2,-0.030000000000000002
116,2021-04-15 08:15:00,-12,-0.25363636363636366
117,2021-04-15 08:30:00,-12,-0.40181818181818174
118,2021-04-15 08:45:00,-12,-0.34272727272727277
119,2021-04-15 09:00:00,-12,-0.3172727272727272
120,2021-04-15 09:15:00,-6,-0.0018181818181817945
121,2021-04-15 09:30:00,-2,0.12181818181818183
122,2021-04-15 09:45:00,-2,0.03999999999999999
123,2021-04-15 10:00:00,-8,-0.20454545454545459
124,2021-04-15 10:15:00,-12,-0.2581818181818182
125,2021-04-15 10:30:00,-2,-0.020000000000000004
126,2021-04-15 10:45:00,-6,-0.0890909090909091
127,2021-04-15 11:00:00,-8,-0.08454545454545453
128,2021-04-15 11:15:00,-2,0.0027272727272727266
129,2021-04-15 11:30:00,6,0.13454545454545455
130,2021-04-15 11:45:00,10,0.3063636363636364
131,2021-04-15 12:00:00,10,0.3227272727272727
132,2021-04-15 12:15:00,8,0.14
133,2021-04-15 12:30:00,2,-0.011818181818181818
134,2021-04-15 12:45:00,0,-0.12272727272727271
135,2021-04-15 13:00:00,-2,-0.08727272727272728
136,2021-04-15 13:15:00,-8,-0.18272727272727265
137,2021-04-15 13:30:00,-2,-0.01
138,2021-04-15 13:45:00,2,0.1081818181818182
139,2021-04-15 14:00:00,10,0.5509090909090909
140,2021-04-15 14:15:00,10,0.4881818181818183
141,2021-04-15 14:30:00,8,0.25999999999999995
142,2021-04-15 14:45:00,4,0.1536363636363636
143,2021-04-15 15:00:00,4,0.14181818181818182
144,2021-04-15 15:15:00,0,0.07272727272727272
145,2021-04-15 15:30:00,-2,-0.05
146,2021-04-15 15:45:00,-2,0.024545454545454547
147,2021-04-15 16:00:00,-4,-0.004545454545454539
148,2021-04-15 16:15:00,-8,-0.27818181818181825
149,2021-04-15 16:30:00,-8,-0.19090909090909092
150,2021-04-15 16:45:00,-12,-0.23545454545454547
151,2021-04-15 17:00:00,-12,-0.18
152,2021-04-15 17:15:00,-8,-0.1127272727272727
153,2021-04-15 17:30:00,-2,0.030909090909090907
154,2021-04-15 17:45:00,0,0.030000000000000006
155,2021-04-15 18:00:00,-2,-0.049090909090909095
156,2021-04-15 18:15:00,-12,-0.23636363636363636
157,2021-04-15 18:30:00,-4,0.011818181818181821
158,2021-04-15 18:45:00,-12,-0.3072727272727273
159,2021-04-15 19:00:00,-12,-0.2372727272727273
160,2021-04-15 19:15:00,-8,-0.09727272727272727
161,2021-04-15 19:30:00,-6,-0.01
162,2021-04-15 19:45:00,-2,0.059999999999999984
163,2021-04-15 20:00:00,10,0.32090909090909087
164,2021-04-15 20:15:00,4,0.10545454545454547
165,2021-04-15 20:30:00,8,0.1990909090909091
166,2021-04-15 20:45:00,6,0.14
167,2021-04-15 21:00:00,4,0.0409090909090909
168,2021-04-15 21:15:00,10,0.2090909090909091
169,2021-04-15 21:30:00,10,0.18999999999999997
170,2021-04-15 21:45:00,0,-0.02545454545454545
