Ticker,Name,Exchange,Category Name,Country
BHARTIARTL.NS,Bharti Airtel Limited,NSI,Wireless Communications,India
ASHOKLEY.NS,Ashok Leyland Limited,NSI,Auto Manufacturers - Major,India
AUROPHARMA.NS,Aurobindo Pharma Limited,NSI,Drugs - Generic,India
SANWARIA.NS,Sanwaria Agro Oils Limited,NSI,Farm Products,India
ALMONDZ.NS,Almondz Global Securities Limited,NSI,Investment Brokerage - National,India
SBIN.NS,State Bank of India,NSI,Money Center Banks,India
BPCL.NS,Bharat Petroleum Corporation Limited,NSI,Oil & Gas Refining & Marketing,India
MBECL.NS,McNally Bharat Engineering Company Limited,NSI,General Contractors,India
MAHABANK.NS,Bank of Maharashtra,NSI,Money Center Banks,India
BOSCHLTD.NS,Bosch Limited,NSI,Auto Parts,India
IDBI.NS,IDBI Bank Limited,NSI,Money Center Banks,India
DABUR.NS,Dabur India Limited,NSI,Personal Products,India
TCIDEVELOP.NS,TCI Developers Limited,NSI,Real Estate Development,India
DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSI,Drugs - Generic,India
DPSCLTD.NS,India Power Corporation Limited,NSI,Electric Utilities,India
PRABHAT.NS,Prabhat Dairy Limited,NSI,Food - Major Diversified,India
MAHLIFE.NS,Mahindra Lifespace Developers Limited,NSI,Real Estate Development,India
LPDC.NS,Landmark Property Development Company Limited,NSI,Real Estate Development,India
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited,NSI,General Contractors,India
IRB.NS,IRB Infrastructure Developers Limited,NSI,Heavy Construction,India
HDIL.NS,Housing Development and Infrastructure Limited,NSI,Real Estate Development,India
HDFC.NS,Housing Development Finance Corporation Limited,NSI,Mortgage Investment,India
GOENKA.NS,Goenka Diamond and Jewels Limited,NSI,Jewelry Stores,India
ENERGYDEV.NS,Energy Development Company Limited,NSI,Electric Utilities,India
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,NSI,Diversified Machinery,India
TATAELXSI.NS,Tata Elxsi Limited,NSI,Technical & System Software,India
SWARAJENG.NS,Swaraj Engines Limited,NSI,Auto Parts,India
RECLTD.NS,Rural Electrification Corporation Limited,NSI,Credit Services,India
PEL.NS,Piramal Enterprises Limited,NSI,Drug Manufacturers - Major,India
EVERONN.NS,Everonn Education Limited,NSI,,India
ESSELPACK.NS,Essel Propack Limited,NSI,,India
ENTEGRA.NS,Entegra Limited,NSI,,India
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,NSI,Shipping,India
OFSS.NS,Oracle Financial Services Software Limited,NSI,Business Software & Services,India
LICHSGFIN.NS,LIC Housing Finance Limited,NSI,Mortgage Investment,India
SITASHREE.NS,Sita Shree Food Products Limited,NSI,Farm Products,India
PFS.NS,PTC India Financial Services Limited,NSI,Mortgage Investment,India
PFC.NS,Power Finance Corporation Limited,NSI,Credit Services,India
MUTHOOTFIN.NS,Muthoot Finance Limited,NSI,Credit Services,India
MAX.NS,Max Financial Services Limited,NSI,,India
MAGMA.NS,Magma Fincorp Limited,NSI,Credit Services,India
FACT.NS,The Fertilisers And Chemicals Travancore Limited,NSI,Agricultural Chemicals,India
WEIZFOREX.NS,Weizmann Forex Limited,NSI,Investment Brokerage - National,India
GSPL.NS,Gujarat State Petronet Limited,NSI,Gas Utilities,India
GAIL.NS,GAIL (India) Limited,NSI,Gas Utilities,India
POWERGRID.NS,Power Grid Corporation of India Limited,NSI,Electric Utilities,India
VHL.NS,Vardhman Holdings Limited,NSI,Credit Services,India
HINDUNILVR.NS,Hindustan Unilever Limited,NSI,Personal Products,India
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,NSI,,India
HCC.NS,Hindustan Construction Company Limited,NSI,General Contractors,India
HIRECT.NS,Hind Rectifiers Limited,NSI,Diversified Electronics,India
SYNCOM.NS,Syncom Healthcare Limited,NSI,Drugs - Generic,India
ROHLTD.NS,Royal Orchid Hotels Limited,NSI,Lodging,India
JUBLINDS.NS,Jubilant Industries Limited,NSI,Rubber & Plastics,India
JISLJALEQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited,NSI,Jewelry Stores,India
SBBJ.NS,State Bank of Bikaner & Jaipur,NSI,,India
PCJEWELLER-EQ.NS,PC JEWELLER LIMITE INR10,NSI,,India
JYOTHYLAB.NS,Jyothy Laboratories Limited,NSI,Personal Products,India
JUBLFOOD.NS,Jubilant FoodWorks Limited,NSI,Restaurants,India
JUBILANT.NS,Jubilant Life Sciences Limited,NSI,Drug Manufacturers - Major,India
JSWSTEEL.NS,JSW Steel Limited,NSI,,India
JPPOWER.NS,Jaiprakash Power Ventures Limited,NSI,Diversified Utilities,India
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,NSI,Asset Management,India
JKTYRE.NS,JK Tyre & Industries Limited,NSI,,India
JKPAPER.NS,JK Paper Limited,NSI,Paper & Paper Products,India
JISLDVREQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
JINDCOT.NS,Jindal Cotex Limited,NSI,Textile Industrial,India
JINDALSAW.NS,Jindal Saw Limited,NSI,Steel & Iron,India
JBFIND.NS,JBF Industries Limited,NSI,Textile Industrial,India
JAIHINDPRO.NS,Jaihind Projects Limited,NSI,General Contractors,India
JAGRAN.NS,Jagran Prakashan Limited,NSI,Publishing - Newspapers,India
JMFINANCIL-EQ.NS,JM FINANCIAL INR1,NSI,,India
JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5,NSI,,India
JAMNAAUTO.NS,Jamna Auto Industries Limited,NSI,Auto Parts,India
JAICORPLTD.NS,Jai Corp Limited,NSI,Rubber & Plastics,India
JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSI,Auto Parts,India
JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2,NSI,,India
JUSTDIAL.NS,Just Dial Limited,NSI,,India
JKIL.NS,J. Kumar Infraprojects Limited,NSI,General Contractors,India
J&KBANK.NS,The Jammu and Kashmir Bank Limited,NSI,Money Center Banks,India
JUSTDIAL-EQ.NS,JUST DIAL LTD INR10,NSI,,India
J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE,NSI,,India
JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED,NSI,,India
JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1,NSI,,India
JCTEL-EQ.NS,JCT ELECTRONICS INR1.00,NSI,,India
PCJEWELLER.NS,PC Jeweller Limited,NSI,Jewelry Stores,India
JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10,NSI,,India
TARAJEWELS.NS,Tara Jewels Limited,NSI,Jewelry Stores,India
JSWENERGY.NS,JSW Energy Limited,NSI,Diversified Utilities,India
JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10,NSI,,India
JKCEMENT.NS,J.K. Cement Limited,NSI,General Building Materials,India
JUMBO-BZ.NS,JUMBO-BZ.NS,NSI,,India
JKPAPER-EQ.NS,JK PAPER LIMITED,NSI,,India
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSI,,India
JINDCOT-EQ.NS,JINDAL COTEX LIMITED,NSI,,India
JINDALPHOT.NS,Jindal Photo Limited,NSI,"Recreational Goods, Other",India
JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED,NSI,,India
JAYAGROGN.NS,Jayant Agro-Organics Limited,NSI,Specialty Chemicals,India
JAIBALAJI.NS,Jai Balaji Industries Limited,NSI,Steel & Iron,India
JINDWORLD.NS,Jindal Worldwide Limited,NSI,Textile Industrial,India
JIKIND-BE.NS,JIK INDUSTRIES INR10,NSI,,India
JMTAUTOLTD-EQ.NS,JMT AUTO LIMITED,NSI,,India
JSWHL.NS,JSW Holdings Limited,NSI,Asset Management,India
JAIHINDPRO-EQ.NS,JAIHIND PROJECTS LIMITED,NSI,,India
KPRMILL.NS,K.P.R. Mill Limited,NSI,Textile - Apparel Clothing,India
KPIT.NS,KPIT Technologies Limited,NSI,Information Technology Services,India
KOTAKBANK.NS,Kotak Mahindra Bank Limited,NSI,Money Center Banks,India
KTIL.NS,Kesar Terminals & Infrastructure Limited,NSI,Business Services,India
KSK.NS,KSK Energy Ventures Limited,NSI,Electric Utilities,India
KSERASERA.NS,KSS Limited,NSI,Entertainment - Diversified,India
KSCL.NS,Kaveri Seed Company Limited,NSI,Farm Products,India
KOTHARIPRO.NS,Kothari Products Limited,NSI,Industrial Metals & Minerals,India
KOTARISUG.NS,Kothari Sugars and Chemicals Limited,NSI,Confectioners,India
KOPRAN.NS,Kopran Limited,NSI,Drug Manufacturers - Major,India
KNRCON.NS,KNR Constructions Limited,NSI,General Contractors,India
KITEX.NS,Kitex Garments Limited,NSI,Textile - Apparel Clothing,India
KIRLOSENG.NS,Kirloskar Oil Engines Limited,NSI,Diversified Machinery,India
KBIL.NS,Kirloskar Brothers Investments Ltd.,NSI,,India
KGL.NS,Karuturi Global Limited,NSI,Farm Products,India
KESARENT.NS,Kesar Enterprises Limited,NSI,,India
KEC.NS,KEC International Limited,NSI,Diversified Utilities,India
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited,NSI,Confectioners,India
EKC.NS,Everest Kanto Cylinder Limited,NSI,Diversified Machinery,India
KSL.NS,Kalyani Steels Limited,NSI,Steel & Iron,India
KANSAINER.NS,Kansai Nerolac Paints Limited,NSI,Specialty Chemicals,India
SKUMARSYN.NS,S. Kumars Nationwide Ltd.,NSI,,India
KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI,NSI,,India
MRF.NS,MRF Limited,NSI,Rubber & Plastics,India
TATASTEEL.NS,Tata Steel Limited,NSI,Steel & Iron,India
RELIANCE.NS,Reliance Industries Limited,NSI,Oil & Gas Refining & Marketing,India
NOCIL.NS,NOCIL Limited,NSI,Chemicals - Major Diversified,India
ICIL.NS,Indo Count Industries Limited,NSI,Textile Industrial,India
TCS.NS,Tata Consultancy Services Limited,NSI,Information Technology Services,India
SURANAIND.NS,Surana Industries Limited,NSI,Steel & Iron,India
SASKEN.NS,Sasken Technologies Limited,NSI,Technical & System Software,India
RELINFRA.NS,Reliance Infrastructure Limited,NSI,Electric Utilities,India
PRAJIND.NS,Praj Industries Limited,NSI,General Contractors,India
NICCO.NS,Nicco Corporation Limited,NSI,Diversified Machinery,India
MARUTI.NS,Maruti Suzuki India Limited,NSI,Auto Manufacturers - Major,India
LUPIN.NS,Lupin Limited,NSI,Drugs - Generic,India
CAIRN.NS,Cairn India Limited,NSI,Major Integrated Oil & Gas,India
ZENITHBIR.NS,Zenith Birla (India) Limited,NSI,Metal Fabrication,India
YESBANK.NS,Yes Bank Limited,NSI,Money Center Banks,India
XPROINDIA.NS,Xpro India Limited,NSI,Specialty Chemicals,India
VOLTAS.NS,Voltas Limited,NSI,General Contractors,India
VISAKAIND.NS,Visaka Industries Limited,NSI,General Building Materials,India
USHERAGRO.NS,Usher Agro Limited,NSI,Farm Products,India
UFO.NS,UFO Moviez India Limited,NSI,Entertainment - Diversified,India
UFLEX.NS,Uflex Limited,NSI,Packaging & Containers,India
TV18BRDCST.NS,TV18 Broadcast Limited,NSI,Broadcasting - TV,India
TRIGYN.NS,Trigyn Technologies Limited,NSI,Technical & System Software,India
TRENT.NS,Trent Limited,NSI,Apparel Stores,India
TIDEWATER.NS,"Tide Water Oil Co. (India), Ltd.",NSI,Oil & Gas Refining & Marketing,India
TECHM.NS,Tech Mahindra Limited,NSI,Information Technology Services,India
TATAMOTORS.NS,Tata Motors Limited,NSI,Auto Manufacturers - Major,India
TATACHEM.NS,Tata Chemicals Limited,NSI,Chemicals - Major Diversified,India
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,NSI,Drugs - Generic,India
SUJANAUNI.NS,Sujana Universal Industries Limited,NSI,Steel & Iron,India
SUBROS.NS,Subros,NSI,Auto Parts,India
SOUTHBANK.NS,The South Indian Bank Limited,NSI,Money Center Banks,India
SKFINDIA.NS,SKF India Limited,NSI,Diversified Machinery,India
SIEMENS.NS,Siemens Limited,NSI,Diversified Machinery,India
MURLIIND.NS,Murli Industries Ltd.,NSI,,India
MINDTREE.NS,Mindtree Limited,NSI,Information Technology Services,India
MINDAIND.NS,Minda Industries Limited,NSI,,India
MEGASOFT.NS,Megasoft Limited,NSI,Technical & System Software,India
MCDOWELL-N.NS,UNITED SPIRITS INR10,NSI,,India
MAGNUM.NS,Magnum Ventures Limited,NSI,Paper & Paper Products,India
SABTN.NS,Sri Adhikari Brothers Television Network Limited,NSI,Broadcasting - TV,India
PNC.NS,Pritish Nandy Communications Ltd,NSI,Entertainment - Diversified,India
NTPC.NS,NTPC Limited,NSI,Diversified Utilities,India
NCLIND.NS,NCL Industries Limited,NSI,General Building Materials,India
NBCC.NS,NBCC (India) Limited,NSI,General Contractors,India
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited,NSI,Beverages - Soft Drinks,India
RAMANEWS.NS,Shree Rama Newsprint Limited,NSI,Paper & Paper Products,India
NMDC.NS,NMDC Limited,NSI,Steel & Iron,India
NIITLTD.NS,NIIT Limited,NSI,Information Technology Services,India
NHPC.NS,NHPC Limited,NSI,Electric Utilities,India
NELCO.NS,Nelco Limited,NSI,Communication Equipment,India
NELCAST.NS,Nelcast Limited,NSI,Metal Fabrication,India
NECCLTD.NS,North Eastern Carrying Corporation Limited,NSI,Railroads,India
CONCOR.NS,Container Corporation of India Limited,NSI,Air Delivery & Freight Services,India
UNIONBANK.NS,Union Bank of India,NSI,Money Center Banks,India
STOREONE.NS,SORIL Infra Resources Limited,NSI,,India
OUDHSUG.NS,The Oudh Sugar Mills Limited,NSI,Confectioners,India
ORBITCORP.NS,Orbit Corporation Limited,NSI,Real Estate Development,India
OMAXE.NS,Omaxe Limited,NSI,Real Estate Development,India
OMAXAUTO.NS,Omax Autos Limited,NSI,Auto Parts,India
OIL.NS,Oil India Limited,NSI,Independent Oil & Gas,India
OBEROIRLTY.NS,Oberoi Realty Limited,NSI,Property Management,India
MCX.NS,Multi Commodity Exchange of India Limited,NSI,Asset Management,India
M100.NS,Motilal Oswal MOSt Shares Midcap 100 ETF,NSI,,India
LAOPALA.NS,La Opala RG Limited,NSI,Home Furnishings & Fixtures,India
BIRLAERIC.NS,Birla Cable Limited,NSI,,India
BANKINDIA.NS,Bank of India Limited,NSI,Money Center Banks,India
BANG.NS,Bang Overseas Limited,NSI,Textile - Apparel Clothing,India
ABAN.NS,Aban Offshore Limited,NSI,Oil & Gas Drilling & Exploration,India
ONWARDTEC.NS,Onward Technologies Limited,NSI,Information Technology Services,India
SHIV-VANI-EQ.NS,SHIV-VANI-EQ.NS,NSI,,India
SABERORGA.NS,SABERO ORGANICS GUJRAT,NSI,,India
TCI.NS,Transport Corporation of India Limited,NSI,Air Delivery & Freight Services,India
ORIENTBELL.NS,Orient Bell Limited,NSI,General Building Materials,India
ORTINLABSS-BE.NS,Ortin Laboratories Ltd,NSI,,India
ORBTEXP-EQ.NS,ORBIT EXPORTS LTD INR10,NSI,,India
SVOGL.NS,SVOGL Oil Gas and Energy Limited,NSI,Independent Oil & Gas,India
QUINTEGRA.NS,Quintegra Solutions Limited,NSI,Information Technology Services,India
QUICKHEAL.NS,Quick Heal Technologies Limited,NSI,,India
QGOLDHALF.NS,Quantum Gold ETF,NSI,,India
QUINTEGRA-EQ.NS,QUINTEGRA SOLUTIONS LTD.,NSI,,India
QNIFTY.NS,Quantum Index ETF,NSI,,India
RUCHISOYA.NS,Ruchi Soya Industries Limited,NSI,Food - Major Diversified,India
INDOCO.NS,Indoco Remedies Limited,NSI,Drugs - Generic,India
GOKUL-BE.NS,GOKUL REFOILS & SO INR2,NSI,,India
TEXRAIL.NS,Texmaco Rail & Engineering Limited,NSI,Diversified Machinery,India
UTTAMVALUE.NS,Uttam Value Steels Limited,NSI,Steel & Iron,India
UTTAMSTL.NS,Uttam Galva Steels Limited,NSI,Steel & Iron,India
USHAMART.NS,Usha Martin Limited,NSI,Steel & Iron,India
UNITECH.NS,Unitech Limited,NSI,Real Estate Development,India
UNIPLY.NS,Uniply Industries Limited,NSI,"Lumber, Wood Production",India
UNIENTER.NS,Uniphos Enterprises Ltd.,NSI,,India
UMESLTD.NS,Usha Martin Education & Solutions Limited,NSI,Education & Training Services,India
UGARSUGAR.NS,The Ugar Sugar Works Limited,NSI,Confectioners,India
CUB.NS,City Union Bank Limited,NSI,Money Center Banks,India
BVCL.NS,Barak Valley Cements Limited,NSI,General Building Materials,India
VSTTILLERS.NS,V.S.T. Tillers Tractors Limited,NSI,Farm & Construction Machinery,India
VSTIND.NS,VST Industries Limited,NSI,"Tobacco Products, Other",India
VOLTAMP.NS,Voltamp Transformers Limited,NSI,Diversified Machinery,India
VISUINTL.NS,Ed & Tech international Limited,NSI,Education & Training Services,India
VIPIND.NS,VIP Industries Limited,NSI,Textile - Apparel Footwear & Accessories,India
VIMTALABS.NS,Vimta Labs Limited,NSI,Medical Laboratories & Research,India
VIDEOIND.NS,Videocon Industries Limited,NSI,Electronic Equipment,India
SPECTACLE.NS,Spectacle Ventures Limited,NSI,,India
HOTELEELA.NS,Hotel Leelaventure Limited,NSI,Lodging,India
HMVL.NS,Hindustan Media Ventures Limited,NSI,Publishing - Newspapers,India
VLSFINANCE.NS,VLS Finance Limited,NSI,Investment Brokerage - National,India
VISUINTL-EQ.NS,VISU INTERNATIONAL INR10,NSI,,India
VALECHAENG-EQ.NS,VALECHA ENGINEERIN INR10,NSI,,India
VIDHIDYE.NS,Vidhi Specialty Food Ingredients Limited,NSI,,India
VARDMNPOLY-EQ.NS,VARDHMAN POLYTEX INR10,NSI,,India
GEECEE-EQ.NS,GEECEE VENTURES LIMITED,NSI,,India
VALECHAENG.NS,Valecha Engineering Limited,NSI,General Contractors,India
HINDUJAVEN.NS,Hinduja Ventures Limited,NSI,CATV Systems,India
VSSL-EQ.NS,VARDHMAN SPECIAL STEELS LIMITED,NSI,,India
VIKASECO-EQ.NS,VIKAS ECOTECH LIMI INR1,NSI,,India
SPECTACLE-EQ.NS,SPEC VENTURES LTD INR1,NSI,,India
SMCSRVIRD-MF.NS,SUNDARAM ASSET MAN MICRO CAP VI,NSI,,India
VTXIND-BE.NS,VTXIND-BE.NS,NSI,,India
VMART.NS,V-Mart Retail Limited,NSI,Department Stores,India
GEECEE.NS,GeeCee Ventures Limited,NSI,Real Estate Development,India
VINYLINDIA.NS,Vinyl Chemicals India Ltd.,NSI,Specialty Chemicals,India
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited,NSI,Agricultural Chemicals,India
VTXIND.NS,VTXIND.NS,NSI,,India
VESUVIUS.NS,Vesuvius India Limited,NSI,Diversified Machinery,India
VAIBHAVGBL.NS,Vaibhav Global Limited,NSI,Jewelry Stores,India
VALUEIND-EQ.NS,VALUE INDUSTRIES LIMITED,NSI,,India
VADILALIND.NS,Vadilal Industries Limited,NSI,Food - Major Diversified,India
UTTAMVALUE-EQ.NS,UTTAM VALUE STEELS INR1,NSI,,India
VIDEOIND-EQ.NS,VIDEOCON INDUSTRIES LIMITED,NSI,,India
VASWANI.NS,Vaswani Industries Limited,NSI,Steel & Iron,India
GLOBALVECT-BE.NS,GLOBAL VECTRA HELI INR10,NSI,,India
WIPRO.NS,Wipro Limited,NSI,Information Technology Services,India
WANBURY.NS,Wanbury Limited,NSI,Drug Manufacturers - Major,India
