symbol,table
RELIANCE.NS,inr
TCS.NS,inr
HDFCBANK.NS,inr
INFY.NS,inr
HINDUNILVR.NS,inr
ICICIBANK.NS,inr
HDFC.NS,inr
SBIN.NS,inr
BAJFINANCE.NS,inr
KOTAKBANK.NS,inr
WIPRO.NS,inr
BHARTIARTL.NS,inr
ASIANPAINT.NS,inr
HCLTECH.NS,inr
ITC.NS,inr
DMART.NS,inr
BAJAJFINSV.NS,inr
LT.NS,inr
ULTRACEMCO.NS,inr
AXISBANK.NS,inr
MARUTI.NS,inr
SUNPHARMA.NS,inr
JSWSTEEL.NS,inr
NESTLEIND.NS,inr
TATASTEEL.NS,inr
ADANIENT.NS,inr
TITAN.NS,inr
ONGC.NS,inr
ADANIPORTS.NS,inr
ADANIGREEN.NS,inr
HINDZINC.NS,inr
HDFCLIFE.NS,inr
DIVISLAB.NS,inr
TATAMTRDVR.NS,inr
TECHM.NS,inr
PIDILITIND.NS,inr
NTPC.NS,inr
VEDL.NS,inr
ZOMATO.NS,inr
BAJAJ-AUTO.NS,inr
SBILIFE.NS,inr
DABUR.NS,inr
TATAMOTORS.NS,inr
SHREECEM.NS,inr
GRASIM.NS,inr
GODREJCP.NS,inr
HINDALCO.NS,inr
ADANITRANS.NS,inr
ATGL.NS,inr
SBICARD.NS,inr
IOC.NS,inr
BPCL.NS,inr
M&M.NS,inr
ICICIPRULI.NS,inr
POWERGRID.NS,inr
COALINDIA.NS,inr
DLF.NS,inr
BRITANNIA.NS,inr
BERGEPAINT.NS,inr
LTI.NS,inr
AMBUJACEM.NS,inr
DRREDDY.NS,inr
INDUSINDBK.NS,inr
CIPLA.NS,inr
MOTHERSUMI.NS,inr
HAVELLS.NS,inr
MARICO.NS,inr
TATACONSUM.NS,inr
SIEMENS.NS,inr
EICHERMOT.NS,inr
ICICIGI.NS,inr
NAUKRI.NS,inr
GLAND.NS,inr
INDIGO.NS,inr
GAIL.NS,inr
MUTHOOTFIN.NS,inr
UPL.NS,inr
HDFCAMC.NS,inr
CADILAHC.NS,inr
INDUSTOWER.NS,inr
SAIL.NS,inr
APOLLOHOSP.NS,inr
HEROMOTOCO.NS,inr
AUROPHARMA.NS,inr
BATAINDIA.NS,inr
NMDC.NS,inr
PEL.NS,inr
TORNTPHARM.NS,inr
SRF.NS,inr
LUPIN.NS,inr
JUBLFOOD.NS,inr
GUJGASLTD.NS,inr
MPHASIS.NS,inr
MINDTREE.NS,inr
BANDHANBNK.NS,inr
BIOCON.NS,inr
COLPAL.NS,inr
BALKRISIND.NS,inr
MCDOWELL-N.NS,inr
BEL.NS,inr
ACC.NS,inr
BAJAJHLDNG.NS,inr
PIIND.NS,inr
BOSCHLTD.NS,inr
JINDALSTEL.NS,inr
JSWENERGY.NS,inr
PNB.NS,inr
ALKEM.NS,inr
PGHH.NS,inr
TATACOMM.NS,inr
IDBI.NS,inr
ABBOTINDIA.NS,inr
GODREJPROP.NS,inr
IOB.NS,inr
DALBHARAT.NS,inr
TATAPOWER.NS,inr
HINDPETRO.NS,inr
IGL.NS,inr
CHOLAFIN.NS,inr
ASHOKLEY.NS,inr
LTTS.NS,inr
MFSL.NS,inr
LODHA.NS,inr
UBL.NS,inr
HONAUT.NS,inr
AUBANK.NS,inr
HAL.NS,inr
IRCTC.NS,inr
OFSS.NS,inr
ADANIPOWER.NS,inr
ABB.NS,inr
BHARATFORG.NS,inr
CONCOR.NS,inr
SRTRANSFIN.NS,inr
PAGEIND.NS,inr
VOLTAS.NS,inr
LAURUSLABS.NS,inr
PFC.NS,inr
MRF.NS,inr
KANSAINER.NS,inr
TRENT.NS,inr
PETRONET.NS,inr
RUCHI.NS,inr
YESBANK.NS,inr
GICRE.NS,inr
ASTRAL.NS,inr
COFORGE.NS,inr
CROMPTON.NS,inr
IRFC.NS,inr
RECLTD.NS,inr
LALPATHLAB.NS,inr
IDFCFIRSTB.NS,inr
SUNDARMFIN.NS,inr
RELAXO.NS,inr
WHIRLPOOL.NS,inr
ABCAPITAL.NS,inr
DEEPAKNTR.NS,inr
3MINDIA.NS,inr
POLYCAB.NS,inr
TVSMOTOR.NS,inr
GLAXO.NS,inr
COROMANDEL.NS,inr
PFIZER.NS,inr
ATUL.NS,inr
MAXHEALTH.NS,inr
IPCALAB.NS,inr
NIACL.NS,inr
SUPREMEIND.NS,inr
NHPC.NS,inr
TATAELXSI.NS,inr
BAYERCROP.NS,inr
RAMCOCEM.NS,inr
SYNGENE.NS,inr
UNIONBANK.NS,inr
SONACOMS.NS,inr
CANBK.NS,inr
JKCEMENT.NS,inr
EMAMILTD.NS,inr
NAM-INDIA.NS,inr
OBEROIRLTY.NS,inr
ENDURANCE.NS,inr
BANKINDIA.NS,inr
PERSISTENT.NS,inr
IDEA.NS,inr
CUMMINSIND.NS,inr
ISEC.NS,inr
SUNTV.NS,inr
VBL.NS,inr
TORNTPOWER.NS,inr
APLAPOLLO.NS,inr
TIINDIA.NS,inr
SCHAEFFLER.NS,inr
BANKBARODA.NS,inr
SUMICHEM.NS,inr
ABFRL.NS,inr
INDIAMART.NS,inr
LICHSGFIN.NS,inr
BHEL.NS,inr
VINATIORGA.NS,inr
CRISIL.NS,inr
MINDAIND.NS,inr
HATSUN.NS,inr
HAPPSTMNDS.NS,inr
AJANTPHARM.NS,inr
AAVAS.NS,inr
GSPL.NS,inr
GILLETTE.NS,inr
ZEEL.NS,inr
TATACHEM.NS,inr
SANOFI.NS,inr
L&TFH.NS,inr
FLUOROCHEM.NS,inr
FORTIS.NS,inr
AIAENG.NS,inr
M&MFIN.NS,inr
NATCOPHARM.NS,inr
KIOCL.NS,inr
GODREJIND.NS,inr
RAJESHEXPO.NS,inr
NAVINFLUOR.NS,inr
OIL.NS,inr
MANAPPURAM.NS,inr
FEDERALBNK.NS,inr
NATIONALUM.NS,inr
INDHOTEL.NS,inr
GLENMARK.NS,inr
GMRINFRA.NS,inr
THERMAX.NS,inr
GRINFRA.NS,inr
CAMS.NS,inr
AARTIIND.NS,inr
SUNDRMFAST.NS,inr
ESCORTS.NS,inr
KAJARIACER.NS,inr
INDIANB.NS,inr
APLLTD.NS,inr
SOLARINDS.NS,inr
EXIDEIND.NS,inr
LINDEINDIA.NS,inr
PHOENIXLTD.NS,inr
METROPOLIS.NS,inr
DCMSHRIRAM.NS,inr
MAHABANK.NS,inr
CENTRALBK.NS,inr
SKFINDIA.NS,inr
HINDCOPPER.NS,inr
APOLLOTYRE.NS,inr
DHANI.NS,inr
JBCHEPHARM.NS,inr
CDSL.NS,inr
GRINDWELL.NS,inr
GRAPHITE.NS,inr
WABCOINDIA.NS,inr
MOTILALOFS.NS,inr
CASTROLIND.NS,inr
UCOBANK.NS,inr
PRESTIGE.NS,inr
ZYDUSWELL.NS,inr
FSL.NS,inr
WELSPUNIND.NS,inr
GODREJAGRO.NS,inr
UTIAMC.NS,inr
BAJAJELEC.NS,inr
TANLA.NS,inr
BLUEDART.NS,inr
KPRMILL.NS,inr
IEX.NS,inr
SUVENPHAR.NS,inr
QUESS.NS,inr
CARBORUNIV.NS,inr
IBULHSGFIN.NS,inr
REDINGTON.NS,inr
CHAMBLFERT.NS,inr
BASF.NS,inr
IIFLWAM.NS,inr
CHOLAHLDNG.NS,inr
INDIGOPNTS.NS,inr
AMARAJABAT.NS,inr
SHRIRAMCIT.NS,inr
ALOKINDS.NS,inr
TTKPRESTIG.NS,inr
RADICO.NS,inr
ITI.NS,inr
ROUTE.NS,inr
TIMKEN.NS,inr
SFL.NS,inr
STLTECH.NS,inr
RBLBANK.NS,inr
MGL.NS,inr
BIRLACORPN.NS,inr
IIFL.NS,inr
PNBHOUSING.NS,inr
SHYAMMETL.NS,inr
BSOFT.NS,inr
CESC.NS,inr
CUB.NS,inr
GALAXYSURF.NS,inr
AEGISCHEM.NS,inr
VTL.NS,inr
KEC.NS,inr
JUBLPHARMA.NS,inr
CYIENT.NS,inr
ERIS.NS,inr
SJVN.NS,inr
AFFLE.NS,inr
VGUARD.NS,inr
BALAMINES.NS,inr
CGPOWER.NS,inr
TRIDENT.NS,inr
LUXIND.NS,inr
TATASTLBSL.NS,inr
AKZOINDIA.NS,inr
CREDITACC.NS,inr
MAHINDCIE.NS,inr
JMFINANCIL.NS,inr
AMBER.NS,inr
RATNAMANI.NS,inr
NH.NS,inr
INTELLECT.NS,inr
SUNTECK.NS,inr
KIMS.NS,inr
ANGELBRKG.NS,inr
HFCL.NS,inr
JUBLINGREA.NS,inr
GRANULES.NS,inr
ZENSARTECH.NS,inr
CENTURYPLY.NS,inr
ASAHIINDIA.NS,inr
CGCL.NS,inr
NBCC.NS,inr
IDFC.NS,inr
LAXMIMACH.NS,inr
FINEORG.NS,inr
FACT.NS,inr
HUDCO.NS,inr
ALKYLAMINE.NS,inr
CENTURYTEX.NS,inr
PGHL.NS,inr
RTNINDIA.NS,inr
RAIN.NS,inr
WESTLIFE.NS,inr
HEG.NS,inr
BBTC.NS,inr
AVANTIFEED.NS,inr
EDELWEISS.NS,inr
PVR.NS,inr
ASTRAZEN.NS,inr
NLCINDIA.NS,inr
POWERINDIA.NS,inr
MCX.NS,inr
ASTERDM.NS,inr
JKLAKSHMI.NS,inr
BLUESTARCO.NS,inr
SONATSOFTW.NS,inr
PNCINFRA.NS,inr
BALRAMCHIN.NS,inr
FINCABLES.NS,inr
JSL.NS,inr
MRPL.NS,inr
ECLERX.NS,inr
EPL.NS,inr
KPITTECH.NS,inr
EIDPARRY.NS,inr
BDL.NS,inr
DBL.NS,inr
VMART.NS,inr
KNRCON.NS,inr
MMTC.NS,inr
PRINCEPIPE.NS,inr
TTML.NS,inr
SUNCLAYLTD.NS,inr
RENUKA.NS,inr
KALYANKJIL.NS,inr
SEQUENT.NS,inr
TEAMLEASE.NS,inr
ANURAS.NS,inr
GARFIBRES.NS,inr
CANFINHOME.NS,inr
EQUITASBNK.NS,inr
SPARC.NS,inr
SIS.NS,inr
KALPATPOWR.NS,inr
ELGIEQUIP.NS,inr
JSLHISAR.NS,inr
PRSMJOHNSN.NS,inr
EIHOTEL.NS,inr
BURGERKING.NS,inr
THYROCARE.NS,inr
STAR.NS,inr
BRIGADE.NS,inr
IBREALEST.NS,inr
LXCHEM.NS,inr
ORIENTELEC.NS,inr
SUPPETRO.NS,inr
GMMPFAUDLR.NS,inr
PRAJIND.NS,inr
TV18BRDCST.NS,inr
CAPLIPOINT.NS,inr
RITES.NS,inr
HIKAL.NS,inr
SYMPHONY.NS,inr
MASTEK.NS,inr
KRBL.NS,inr
ROSSARI.NS,inr
KEI.NS,inr
RALLIS.NS,inr
FDC.NS,inr
JYOTHYLAB.NS,inr
JCHAC.NS,inr
HGS.NS,inr
AARTIDRUGS.NS,inr
PRIVISCL.NS,inr
RVNL.NS,inr
CSBBANK.NS,inr
SAREGAMA.NS,inr
HEIDELBERG.NS,inr
GNFC.NS,inr
JUSTDIAL.NS,inr
GPIL.NS,inr
INDIACEM.NS,inr
ISGEC.NS,inr
SOLARA.NS,inr
TCIEXP.NS,inr
CCL.NS,inr
WOCKPHARMA.NS,inr
TATAINVEST.NS,inr
CERA.NS,inr
IRB.NS,inr
JSWHL.NS,inr
VIPIND.NS,inr
BHARATRAS.NS,inr
SOBHA.NS,inr
BSE.NS,inr
NAZARA.NS,inr
CEATLTD.NS,inr
BEML.NS,inr
MAHLOG.NS,inr
GPPL.NS,inr
NCC.NS,inr
SUZLON.NS,inr
GODFRYPHLP.NS,inr
VSTIND.NS,inr
HOMEFIRST.NS,inr
MAZDOCK.NS,inr
ICIL.NS,inr
NETWORK18.NS,inr
SUDARSCHEM.NS,inr
SCI.NS,inr
TATASTLLP.NS,inr
DIXON.NS,inr
GESHIP.NS,inr
UJJIVANSFB.NS,inr
COCHINSHIP.NS,inr
DELTACORP.NS,inr
GSFC.NS,inr
ALLCARGO.NS,inr
MAHSCOOTER.NS,inr
HIL.NS,inr
ENGINERSIN.NS,inr
POLYPLEX.NS,inr
TASTYBITE.NS,inr
SUPRAJIT.NS,inr
MAGMA.NS,inr
RCF.NS,inr
HLEGLAS.NS,inr
HATHWAY.NS,inr
NIITLTD.NS,inr
STARCEMENT.NS,inr
SWSOLAR.NS,inr
VARROC.NS,inr
MOIL.NS,inr
TRIVENI.NS,inr
SPICEJET.NS,inr
EASEMYTRIP.NS,inr
RAILTEL.NS,inr
ADVENZYMES.NS,inr
GAEL.NS,inr
JINDALSAW.NS,inr
MASFIN.NS,inr
DEEPAKFERT.NS,inr
JKPAPER.NS,inr
DHANUKA.NS,inr
EQUITAS.NS,inr
JINDALPOLY.NS,inr
MTARTECH.NS,inr
NOCIL.NS,inr
VENKEYS.NS,inr
KSCL.NS,inr
RELIGARE.NS,inr
NESCO.NS,inr
GTLINFRA.NS,inr
NEWGEN.NS,inr
BAJAJCON.NS,inr
CRAFTSMAN.NS,inr
KIRLFER.NS,inr
INDOSTAR.NS,inr
TATAMETALI.NS,inr
INDOCO.NS,inr
SPANDANA.NS,inr
RUPA.NS,inr
MHRIL.NS,inr
HNDFDS.NS,inr
BORORENEW.NS,inr
HEMIPROP.NS,inr
KSB.NS,inr
IFBIND.NS,inr
TATACOFFEE.NS,inr
TRITURBINE.NS,inr
NILKAMAL.NS,inr
UFLEX.NS,inr
IOLCP.NS,inr
MAHLIFE.NS,inr
KARURVYSYA.NS,inr
DALMIASUG.NS,inr
IPL.NS,inr
VAKRANGEE.NS,inr
SHILPAMED.NS,inr
VALIANTORG.NS,inr
GREAVESCOT.NS,inr
GET&D.NS,inr
JKTYRE.NS,inr
DODLA.NS,inr
ICRA.NS,inr
WELCORP.NS,inr
CHALET.NS,inr
RESPONIND.NS,inr
