,0
EXIDEIND,173057
FCONSUMER,7689729
FDC,1253889
FEDERALBNK,261889
FINCABLES,265729
FINEORG,958465
FINPIPE,266497
FLUOROCHEM,3520001
FORTIS,3735553
FRETAIL,4704769
FSL,3661825
GAEL,2259969
GAIL,1207553
GALAXYSURF,336641
GARFIBRES,281601
GEPIL,2012673
GESHIP,3526657
GICRE,70913
GILLETTE,403457
GLAND,303617
GLAXO,295169
GLENMARK,1895937
GMMPFAUDLR,401921
GMRINFRA,3463169
GNFC,300545
GODFRYPHLP,302337
GODREJAGRO,36865
GODREJCP,2585345
GODREJIND,2796801
GODREJPROP,4576001
GPPL,5051137
GRANULES,3039233
GRAPHITE,151553
GRASIM,315393
GREAVESCOT,316161
GRINDWELL,3471361
GRSE,1401601
GSFC,319233
GSPL,3378433
GUJALKALI,324353
GUJGASLTD,2713345
GULFOILLUB,1124097
HAL,589569
HAPPSTMNDS,12289
HATSUN,996353
HAVELLS,2513665
HCLTECH,1850625
HDFC,340481
HDFCAMC,1086465
HDFCBANK,341249
HDFCLIFE,119553
HEG,342017
HEIDELBERG,592897
HEMIPROP,179457
HEROMOTOCO,345089
HINDALCO,348929
HINDCOPPER,4592385
HINDPETRO,359937
HINDUNILVR,356865
HINDZINC,364545
HONAUT,874753
HSCL,3669505
HUDCO,5331201
HUHTAMAKI,655873
IBREALEST,3699201
IBULHSGFIN,7712001
ICICIBANK,1270529
ICICIGI,5573121
ICICIPRULI,4774913
ICIL,3068673
IDBI,377857
IDEA,3677697
IDFC,3060993
IDFCFIRSTB,2863105
IEX,56321
IFBIND,380161
IGL,2883073
IIFLWAM,3343617
INDHOTEL,387073
INDIACEM,387841
INDIAMART,2745857
INDIANB,3663105
INDIGO,2865921
INDOCO,2989313
INDUSINDBK,1346049
INDUSTOWER,7458561
INFIBEAM,4159745
INFY,408065
INGERRAND,408833
INOXLEISUR,3384577
INTELLECT,1517057
IOB,2393089
IOC,415745
IOLCP,5225729
IPCALAB,418049
IRB,3920129
IRCON,1276417
IRCTC,3484417
ISEC,637185
ITC,424961
ITI,428801
JAMNAAUTO,5319169
JBCHEPHARM,441857
JCHAC,1149697
JINDALSAW,774145
JINDALSTEL,1723649
JKCEMENT,3397121
JKLAKSHMI,3453697
JKPAPER,3036161
JKTYRE,3695361
JMFINANCIL,3491073
JSL,2876417
JSLHISAR,3149825
JSWENERGY,4574465
JSWSTEEL,3001089
JTEKTINDIA,828673
JUBLFOOD,4632577
JUSTDIAL,7670273
JYOTHYLAB,3877377
KAJARIACER,462849
KALPATPOWR,464385
KANSAINER,306177
KARURVYSYA,470529
KEC,3394561
KEI,3407361
KNRCON,3912449
KOTAKBANK,492033
KPITTECH,2478849
KPRMILL,3817473
KRBL,2707713
KSB,498945
KSCL,3832833
L&TFH,6386689
LALPATHLAB,2983425
LAOPALA,3692289
LAURUSLABS,4923905
LAXMIMACH,506625
LEMONTREE,667137
LICHSGFIN,511233
LINDEINDIA,416513
LT,2939649
LTI,4561409
LTTS,4752385
LUPIN,2672641
LUXIND,2893057
M&M,519937
M&MFIN,3400961
MAHABANK,2912513
MAHINDCIE,3823873
MAHLOG,98561
MAHSCOOTER,533761
MAHSEAMLES,534529
MANAPPURAM,4879617
MARICO,1041153
MARUTI,2815745
MASFIN,50945
MAXHEALTH,5728513
MAZDOCK,130305
MCDOWELL-N,2674433
MCX,7982337
METROPOLIS,2452737
MFSL,548353
MGL,4488705
MHRIL,4437249
MIDHANI,630529
MINDACORP,6629633
MINDAIND,3623425
MINDTREE,3675137
MMTC,4596993
MOIL,5332481
MOTILALOFS,3826433
MPHASIS,1152769
MRF,582913
MRPL,584449
MUTHOOTFIN,6054401
NAM-INDIA,91393
NATCOPHARM,1003009
NATIONALUM,1629185
NAUKRI,3520257
NAVINFLUOR,3756033
NBCC,8042241
NCC,593665
NESCO,3944705
NESTLEIND,4598529
NETWORK18,3612417
NFL,3564801
NH,3031041
NHPC,4454401
NIACL,102145
NILKAMAL,619777
NLCINDIA,2197761
NMDC,3924993
NOCIL,625153
NTPC,2977281
OBEROIRLTY,5181953
OFSS,2748929
OIL,4464129
ONGC,633601
ORIENTELEC,760833
PAGEIND,3689729
PEL,617473
PERSISTENT,4701441
PETRONET,2905857
PFC,3660545
PFIZER,676609
PGHH,648961
PGHL,240641
PHILIPCARB,678145
PHOENIXLTD,3725313
PIDILITIND,681985
PIIND,6191105
PNB,2730497
PNCINFRA,2402561
POLYCAB,2455041
POLYMED,6583809
POLYPLEX,687873
POWERGRID,3834113
POWERINDIA,4724993
PRESTIGE,5197313
PRINCEPIPE,4107521
PRSMJOHNSN,701185
PVR,3365633
QUESS,4532225
RADICO,2813441
RAIN,3926273
RAJESHEXPO,1894657
RALLIS,720897
RAMCOCEM,523009
RATNAMANI,3443457
RAYMOND,731905
RBLBANK,4708097
RCF,733697
RECLTD,3930881
REDINGTON,3649281
RELAXO,6201601
RELIANCE,738561
RESPONIND,5202689
RHIM,7977729
RITES,962817
ROSSARI,4968961
ROUTE,32769
RVNL,2445313
SAIL,758529
SANOFI,369153
SBICARD,4600577
SBILIFE,5582849
SBIN,779521
SCHAEFFLER,258817
SCHNEIDER,7995905
SCI,780289
SEQUENT,3659777
SFL,4911105
SHARDACROP,1277953
SHILPAMED,4544513
SHOPERSTOP,3024129
SHREECEM,794369
SHRIRAMCIT,3005185
SIEMENS,806401
SIS,5504257
SJVN,4834049
SKFINDIA,815617
SOBHA,3539457
SOLARA,940033
SOLARINDS,3412993
SONATSOFTW,1688577
SPANDANA,2927361
SPARC,3785729
SPICEJET,2930177
SRF,837889
SRTRANSFIN,1102337
STAR,1887745
STARCEMENT,5399297
STLTECH,2383105
SUDARSCHEM,851713
SUMICHEM,4378881
SUNCLAYLTD,7426049
SUNDARMFIN,854785
SUNDRMFAST,856321
SUNPHARMA,857857
SUNTECK,4516097
SUNTV,3431425
SUPRAJIT,2992385
SUPREMEIND,860929
SUVENPHAR,4593921
SUZLON,3076609
SWANENERGY,6936321
SWSOLAR,3197185
SYMPHONY,6192641
SYNGENE,2622209
TASTYBITE,5143553
TATACHEM,871681
TATACOFFEE,185345
TATACOMM,952577
TATACONSUM,878593
TATAELXSI,873217
TATAINVEST,414977
TATAMOTORS,884737
TATAMTRDVR,4343041
TATAPOWER,877057
TATASTEEL,895745
TCIEXP,4921089
TCNSBRANDS,1068033
TCS,2953217
TEAMLEASE,3255297
TECHM,3465729
THERMAX,889601
THYROCARE,4360193
TIINDIA,79873
TIMKEN,3634689
TITAN,897537
TORNTPHARM,900609
TORNTPOWER,3529217
TRENT,502785
TRIDENT,2479361
TRITURBINE,6549505
TTKPRESTIG,907777
TV18BRDCST,3637249
TVSMOTOR,2170625
UBL,4278529
UCOBANK,2873089
UFLEX,269569
UJJIVAN,4369665
UJJIVANSFB,3898369
ULTRACEMCO,2952193
UNIONBANK,2752769
UPL,2889473
UTIAMC,134913
VAIBHAVGBL,2909185
VAKRANGEE,3415553
VALIANTORG,84481
VARROC,987393
VBL,4843777
VEDL,784129
VENKEYS,961793
VGUARD,3932673
VINATIORGA,4445185
VIPIND,947969
VMART,7496705
VOLTAS,951809
VSTIND,953345
VTL,530689
WABCOINDIA,4330241
WELCORP,3026177
WELSPUNIND,2880769
WESTLIFE,2964481
WHIRLPOOL,4610817
WIPRO,969473
WOCKPHARMA,1921537
YESBANK,3050241
ZEEL,975873
ZENSARTECH,275457
ZYDUSWELL,4514561
3MINDIA,121345
AARTIDRUGS,1147137
AARTIIND,1793
AAVAS,1378561
ABB,3329
ABBOTINDIA,4583169
ABCAPITAL,5533185
ABFRL,7707649
ACC,5633
ADANIENT,6401
ADANIPORTS,3861249
ADVENZYMES,4617985
AEGISCHEM,10241
AIAENG,3350017
AJANTPHARM,2079745
AKZOINDIA,375553
ALEMBICLTD,20225
ALKEM,2995969
ALKYLAMINE,1148673
ALOKINDS,4524801
AMARAJABAT,25601
AMBER,303361
AMBUJACEM,325121
ANGELBRKG,82945
APLAPOLLO,6599681
APLLTD,6483969
APOLLOHOSP,40193
APOLLOTYRE,41729
ASAHIINDIA,1376769
ASHOKA,5166593
ASHOKLEY,54273
ASIANPAINT,60417
ASTERDM,386049
ASTRAL,3691009
ASTRAZEN,1436161
ATUL,67329
AUBANK,5436929
AUROPHARMA,70401
AVANTIFEED,2031617
AXISBANK,1510401
BAJAJ-AUTO,4267265
BAJAJCON,4999937
BAJAJELEC,3848705
BAJAJFINSV,4268801
BAJAJHLDNG,78081
BAJFINANCE,81153
BALAMINES,3712257
BALKRISIND,85761
BALMLAWRIE,86529
BALRAMCHIN,87297
BANDHANBNK,579329
BANKBARODA,1195009
BANKINDIA,1214721
BASF,94209
BATAINDIA,94977
BAYERCROP,4589313
BBTC,97281
BDL,548865
BEL,98049
BEML,101121
BERGEPAINT,103425
BHARATFORG,108033
BHARATRAS,981505
BHARTIARTL,2714625
BHEL,112129
BIOCON,2911489
BIRLACORPN,122881
BLISSGVS,4931841
BLUEDART,126721
BLUESTARCO,2127617
BOSCHLTD,558337
BPCL,134657
BRIGADE,3887105
BRITANNIA,140033
BSE,5013761
BSOFT,1790465
BURGERKING,382465
CADILAHC,2029825
CAMS,87553
CANBK,2763265
CANFINHOME,149249
CAPLIPOINT,999937
CARBORUNIV,152321
CASTROLIND,320001
CCL,2931713
CEATLTD,3905025
CENTRALBK,3812865
CENTURYPLY,3406081
CENTURYTEX,160001
CERA,3849985
CESC,160769
CGCL,5204225
CHALET,2187777
CHAMBLFERT,163073
CHOLAFIN,175361
CHOLAHLDNG,5565441
CIPLA,177665
COALINDIA,5215745
COCHINSHIP,5506049
COFORGE,2955009
COLPAL,3876097
CONCOR,1215745
COROMANDEL,189185
CREDITACC,1131777
CRISIL,193793
CROMPTON,4376065
CSBBANK,3831297
CUB,1459457
CUMMINSIND,486657
CYIENT,1471489
DABUR,197633
DALBHARAT,2067201
DBL,4630017
DCAL,5556225
DCBBANK,3513601
DCMSHRIRAM,207617
DEEPAKNTR,5105409
DELTACORP,3851265
DHANI,3938305
DHANUKA,6248705
DISHTV,3721473
DIVISLAB,2800641
DIXON,5552641
DLF,3771393
DMART,5097729
DRREDDY,225537
EDELWEISS,3870465
EICHERMOT,232961
EIDPARRY,234497
EIHOTEL,235265
ELGIEQUIP,239873
EMAMILTD,3460353
ENDURANCE,4818433
ENGINERSIN,1256193
EPL,251137
EQUITAS,4314113
ERIS,5415425
ESCORTS,245249
