,symbol,token
0,GAIL,1207553
1,MARICO,1041153
2,SRF,837889
3,BHARATFORG,108033
4,SBILIFE,5582849
5,HINDPETRO,359937
6,APLLTD,6483969
7,TORNTPOWER,3529217
8,BEL,98049
9,CANBK,2763265
10,ONGC,633601
11,RECLTD,3930881
12,ALKEM,2995969
13,BPCL,134657
14,TATAPOWER,877057
15,BAJFINANCE,81153
16,BALKRISIND,85761
17,ADANIPORTS,3861249
18,MGL,4488705
19,CUMMINSIND,486657
20,VEDL,784129
21,PFC,3660545
22,BATAINDIA,94977
23,VOLTAS,951809
24,ADANIENT,6401
25,ICICIGI,5573121
26,MOTHERSUMI,1076225
27,IGL,2883073
28,COALINDIA,5215745
29,NAM-INDIA,91393
30,TCS,2953217
31,KOTAKBANK,492033
32,ICICIPRULI,4774913
33,RBLBANK,4708097
34,TECHM,3465729
35,IRCTC,3484417
36,MCDOWELL-N,2674433
37,SBIN,779521
38,NESTLEIND,4598529
39,PETRONET,2905857
40,SAIL,758529
41,ASIANPAINT,60417
42,MFSL,548353
43,GRASIM,315393
44,LICHSGFIN,511233
45,HINDUNILVR,356865
46,IBULHSGFIN,7712001
47,MANAPPURAM,4879617
48,TATASTEEL,895745
49,BRITANNIA,140033
50,MINDTREE,3675137
51,EXIDEIND,173057
52,COLPAL,3876097
53,ESCORTS,245249
54,AXISBANK,1510401
55,LT,2939649
56,INDUSINDBK,1346049
57,BANDHANBNK,579329
58,AARTIIND,1793
59,NTPC,2977281
60,CONCOR,1215745
61,BAJAJFINSV,4268801
62,BAJAJ-AUTO,4267265
63,HEROMOTOCO,345089
64,SRTRANSFIN,1102337
65,PIDILITIND,681985
66,HDFCLIFE,119553
67,ITC,424961
68,UBL,4278529
69,APOLLOHOSP,40193
70,GUJGASLTD,2713345
71,HCLTECH,1850625
72,DLF,3771393
73,TRENT,502785
74,TORNTPHARM,900609
75,NMDC,3924993
76,BERGEPAINT,103425
77,SHREECEM,794369
78,ULTRACEMCO,2952193
79,PAGEIND,3689729
80,ICICIBANK,1270529
81,DABUR,197633
82,ZEEL,975873
83,MUTHOOTFIN,6054401
84,HDFCAMC,1086465
85,AUBANK,5436929
86,ASHOKLEY,54273
87,PIIND,6191105
88,UPL,2889473
89,JSWSTEEL,3001089
90,WIPRO,969473
91,BHARTIARTL,2714625
92,EICHERMOT,232961
93,TATAMOTORS,884737
94,TVSMOTOR,2170625
95,POWERGRID,3834113
96,AUROPHARMA,70401
97,PFIZER,676609
98,MARUTI,2815745
99,SIEMENS,806401
100,LUPIN,2672641
101,BIOCON,2911489
102,BOSCHLTD,558337
103,TITAN,897537
104,AMBUJACEM,325121
105,ACC,5633
106,CUB,1459457
107,NAUKRI,3520257
108,M&M,519937
109,GODREJCP,2585345
110,MRF,582913
111,APOLLOTYRE,41729
112,INFY,408065
113,HDFC,340481
114,MPHASIS,1152769
115,CHOLAFIN,175361
116,COFORGE,2955009
117,HDFCBANK,341249
118,HAVELLS,2513665
119,LTI,4561409
120,GODREJPROP,4576001
121,HINDALCO,348929
122,CADILAHC,2029825
123,AMARAJABAT,25601
124,DEEPAKNTR,5105409
125,SUNPHARMA,857857
126,JINDALSTEL,1723649
127,RAMCOCEM,523009
128,RELIANCE,738561
129,DIVISLAB,2800641
130,PVR,3365633
131,DRREDDY,225537
132,GRANULES,3039233
133,LALPATHLAB,2983425
134,PEL,617473
135,INDIGO,2865921
136,NAVINFLUOR,3756033
137,INDUSTOWER,7458561
138,SUNTV,3431425
139,M&MFIN,3400961
140,GLENMARK,1895937
141,CIPLA,177665
142,JUBLFOOD,4632577
143,TATACONSUM,878593
144,LTTS,4752385
145,TATACHEM,871681
